variable,description,unit,dimensions,code_variable,in_history,in_analysis,in_daily,in_monthly,in_diurnal,in_yearly,in_tower,glob_id,info_string
PYSI_ID,Polygons first site indices,NA,npolygons,cgrid%pysi_id,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,cgrid%pyglob_id,PYSI_ID :10:hist:anal:dail:mont:dcyc:year
PYSI_N,Number of sites per polygon,NA,npolygons,cgrid%pysi_n,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,cgrid%pyglob_id,PYSI_N :10:hist:anal:dail:mont:dcyc:year
XATM,Atm. cell x-indices of polygon,NA,npolygons,cgrid%xatm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,cgrid%pyglob_id,XATM :10:hist:anal:dail:mont:dcyc:year
YATM,Atm cell y-indices of polygon,NA,npolygons,cgrid%yatm,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,cgrid%pyglob_id,YATM :10:hist:anal:dail:mont:dcyc:year
LOAD_ADJACENCY,Load Adjacency,NA,npolygons,cgrid%load_adjacency,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,LOAD_ADJACENCY :10:hist
LONGITUDE,Longitude of Polygon,deg,npolygons,cgrid%lon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,cgrid%pyglob_id,LONGITUDE :11:hist:anal:dail:mont:dcyc:year
LATITUDE,Latitude of Polygon,deg,npolygons,cgrid%lat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,cgrid%pyglob_id,LATITUDE :11:hist:anal:dail:mont:dcyc:year
WBAR,Polygon average topographic moisture index,NA,npolygons,cgrid%wbar,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,WBAR :11:hist
TE,No metadata available,NA,npolygons,cgrid%te,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,TE :11:hist
ZBAR,Polygon average water table depth,m,npolygons,cgrid%zbar,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,ZBAR :11:hist:anal:opti
SHEAT,Soil heat pool for lateral hydrology,NA,npolygons,cgrid%sheat,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,SHEAT :11:hist
BASEFLOW,Loss of water from site to watershed discharge,kg/m2/s,npolygons,cgrid%baseflow,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,BASEFLOW :11:hist:anal:opti
RUNOFF,Water runoff,kg/m2/s,npolygons,cgrid%runoff,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,RUNOFF :11:hist:anal:opti
QRUNOFF,Water runoff,kg/m2/s,npolygons,cgrid%qrunoff,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,cgrid%pyglob_id,QRUNOFF :11:hist:anal:opti
SWLIQ,,NA,npolygons,cgrid%swliq,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,SWLIQ :11:hist:anal
TOTAL_AGB,Polygon Total Above Ground Biomass,kgC/m2,npolygons,cgrid%total_agb,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,cgrid%pyglob_id,TOTAL_AGB :11:hist:anal:year:opti
TOTAL_BASAL_AREA,Polygon Total Basal Area,cm2/m2,npolygons,cgrid%total_basal_area,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,cgrid%pyglob_id,TOTAL_BASAL_AREA :11:hist:anal:year
TOTAL_AGB_GROWTH,Polygon AGB gain through growth,kgC/m2/yr,npolygons,cgrid%total_agb_growth,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,cgrid%pyglob_id,TOTAL_AGB_GROWTH:11:hist:anal:year
TOTAL_AGB_MORT,Polygon AGB lost due to mortality,kgC/m2/yr,npolygons,cgrid%total_agb_mort,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,cgrid%pyglob_id,TOTAL_AGB_MORT :11:hist:anal:year
TOTAL_AGB_RECRUIT,Polygon AGB used to generate recruits,kgC/m2/yr,npolygons,cgrid%total_agb_recruit,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,cgrid%pyglob_id,TOTAL_AGB_RECRUIT :11:hist:anal:year
TOTAL_BASAL_AREA_GROWTH,Polygon basal area gained through growth,kgC/m2/yr,npolygons,cgrid%total_basal_area_growth,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,cgrid%pyglob_id,TOTAL_BASAL_AREA_GROWTH :11:hist:anal:year
TOTAL_BASAL_AREA_MORT,Polygon basal area lost through growth,cm2/m2/yr,npolygons,cgrid%total_basal_area_mort,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,cgrid%pyglob_id,TOTAL_BASAL_AREA_MORT :11:hist:anal:year
TOTAL_BASAL_AREA_RECRUIT,Polygon basal area gained by recruits,cm2/m2/yr,npolygons,cgrid%total_basal_area_recruit,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,cgrid%pyglob_id,TOTAL_BASAL_AREA_RECRUIT :11:hist:anal:year
COSZ,Cosine of the zenith angle,a/h,npolygons,cgrid%cosz,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,COSZ :11:hist
CBUDGET_INITIALSTORAGE_PY,"Vegetation and soil carbon,at start of budget-averaging",kgC/m2,npolygons,cgrid%cbudget_initialstorage,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,CBUDGET_INITIALSTORAGE_PY :11:hist
CBUDGET_NEP_PY,Polygon average net ecosystem production,kgC/m2/day,npolygons,cgrid%cbudget_nep,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,CBUDGET_NEP_PY :11:hist
CBUDGET_REMOVEDSTORAGE_PY,Vegetation and soil carbon removed from polygon,kgC/m2,npolygons,cgrid%cbudget_removedstorage,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,CBUDGET_REMOVEDSTORAGE_PY :11:hist
NBUDGET_INITIALSTORAGE_PY,"Veg and soil nitrogen, at start of budget-averaging",kgN/m2,npolygons,cgrid%nbudget_initialstorage,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,NBUDGET_INITIALSTORAGE_PY :11:hist
CLEAF_GROW,Poly Avg. Leaf Carbon Growth,?,npolygons,cgrid%cleaf_grow,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,CLEAF_GROW :11:hist:anal:dail
CROOT_GROW,Poly Avg. Fine Root Carbon Growth,?,npolygons,cgrid%croot_grow,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,CROOT_GROW :11:hist:anal:dail
CDEAD_GROW,Poly Avg. Wood Carbon Growth,?,npolygons,cgrid%cdead_grow,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,CDEAD_GROW :11:hist:anal:dail
CSTORE_GROW,Poly Avg. Storage Carbon growth,?,npolygons,cgrid%cstore_grow,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,cgrid%pyglob_id,CSTORE_GROW :11:hist:anal:dail
